Name,Description,Price,Image
Decadent Chocolate Gift Basket,"Chocolatedreamsdocometruewiththisdeluxeanddecadentchocolateassortmentbasket.Thestrikinggeometricmoderncontainerfeaturesfavourites’suchasGodiva,LindtandGhirardellichocolatesaswellasdarkchocolatealmondsandmilkchocolatecashews.It’sbetterthanbeforeasitincludesbothdarkandmilkchocolate—thebestofbothchocolateworlds!Chocolateloverswillalsosavourexquisitebiscuits,caramelnutcorn,BrownieBrittleandmuchmore.Thequintessentialgiftforthechocoholic!Features:Godivamilkchocolatebar–100g(3.5oz.)Ghirardellidarkchocolateseasaltcaramelbar–100g(3.5oz.)Ghirardellimilkchocolatecaramelbar–100g(3.5oz.)Lindt60%extradarkLindorchocolates,3pieces–36g(1.3oz.)SheilaG’sBrownieBrittlechocolatechip–28g(1oz.)ForumcrispychocolatebiscuitsDuoOublies–125g(4.4oz.)InfusionsbyCharlie&Sam’srooibosdarkchocolatetoffeealmondsbox–60g(2.1oz.)UnionStreettriplepassioncookiesbox–200g(7oz.)UnionStreetmilkchocolatecashews–57g(2oz.)UnionStreetdarkchocolatealmonds–70g(2.5oz.)Charlie&Sam’sNutoriouscaramelpopcornwithpecansandalmonds–140g(4.9oz.)Bratsdarkchocolatecaramelpopcorn–160g(5.6oz.)Nextdarkchocolatecherries–28g(1oz.)",69.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=662191-894&recipeName=470
Decadent Chocolate Gift Basket 10-pack,"EachsinglepackcontainsthelistingbelowChocolatedreamsdocometruewiththisdeluxeanddecadentchocolateassortmentbasket.Thestrikinggeometricmoderncontainerfeaturesfavourites’suchasGodiva,LindtandGhirardellichocolatesaswellasdarkchocolatealmondsandmilkchocolatecashews.It’sbetterthanbeforeasitincludesbothdarkandmilkchocolate—thebestofbothchocolateworlds!Chocolateloverswillalsosavourexquisitebiscuits,caramelnutcorn,BrownieBrittleandmuchmore.Thequintessentialgiftforthechocoholic!Features:Godivamilkchocolatebar–100g(3.5oz.)Ghirardellidarkchocolateseasaltcaramelbar–100g(3.5oz.)Ghirardellimilkchocolatecaramelbar–100g(3.5oz.)Lindt60%extradarkLindorchocolates,3pieces–36g(1.3oz.)SheilaG’sBrownieBrittlesaltedcaramel–28g(1oz.)ForumcrispybiscuitsDuoOublies–125g(4.4oz.)InfusionsbyCharlie&Sam’srooibosdarkchocolatetoffeealmondsbox–60g(2.1oz.)UnionStreettriplepassioncookiesbox–200g(7oz.)UnionStreetmilkchocolatecashews–57g(2oz.)UnionStreetdarkchocolatealmonds–70g(2.5oz.)Charlie&Sam’sNutoriouscaramelpopcornwithpecansandalmonds–140g(4.9oz.)Bratsdarkchocolatecaramelpopcorn–160g(5.6oz.)Nextdarkchocolatecherries–28g(1oz.)",599.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=662192-894&recipeName=470
Maple Terroir – Assortment of Dark Chocolate-covered Fruit ,"MapleTerroirbranddarkchocolatecoveredberrieswithpuremaplesyrupusesrealdriedfruitthatarepickedfromcertainregionsofCanada,dippedinpuremaplesyrupandthendippedinhighqualityBelgiandarkchocolate.Thesechocolatesareproducedusingtraditionalpanningmethodandthenair-driedonracks.Manybrandsinthemarketuseartificialflavoringorconcentrateinplaceofrealdriedfruitorhigherconcentrationofsugarandartificialflavorinsteadofusingpuremaplesyrup.MapleTerroirdoesn’tcompromise,creatingarealdriedfruitcoveredinchocolatewithatouchofCanadiana!Features:3x100g(3.5oz.)darkchocolatecoveredwildblueberrywithpuremaplesyrup3x100g(3.5oz.)darkchocolatecoveredcranberrywithpuremaplesyrup3x100g(3.5oz.)darkchocolatecoveredcherrywithpuremaplesyrup0gtransfat3boxesofeachflavortoenjoyProducedonequipmentshareddailywitheggs,soy,wheat,peanutsandallothernutsMadeinCanadaManuals,Information&GuidesNutritionalFacts",44.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=4480012-894&recipeName=470
"Traditional Fudges, Assorted Fudge","Preparedaccordingtotraditionalrecipes,thesecreamyfudgeswillsurelysatisfyanyonelookingforsweettreat.Themostpopularflavoursareofferedinassortedtwo-packstotaling1000g.Eachpieceisvacuum-sealedtokeepthefreshnessupto3monthsiftheproductisproperlystoredatambienttemperaturebetween18°Cand22°C(64°Fand72°F).Onceopened,thefudgeshouldbeeatenwithin3weeks.Availableindifferentflavours:ChocolatemintandBailey'sTiramisuandmaplefudgeBelgianchocolateandcaramelseasaltTriplechocolateandcaramelpecans",39.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=10349320-894&recipeName=470
"Galerie au Chocolat Christmas Sleigh of Assorted Chocolates, 6-pack","EachsinglepackcontainsthelistingbelowThissleighisnotmadeforsledding,insteaditisfilledwithsomeofthepremiumchocolateassortments!This6-packofseasonalgiftsissuretomakejustaboutanybodysmile.Perfectforteachers,clients,stafforyourfamily.Indulgeinthesefamousseasaltcaramelandpralinetruffleswhicharemadewith35%cream,realbutterandnopreservatives.SavourthemaplecrunchmilkchocolatebarmadewithrealmaplesyrupandfineBelgianchocolateandfinishoffyourmealwiththesechocolateportocups.Thesedeliciousindividuallywrappedchocolatesquaresaretheperfectbitesizesnackwithyourcoffeeanytimeoftheday!GalerieauChocolathasbeenproducingsomeofthefinestchocolatesavailableontheCanadianmarketforover30years.AlloftheirproductsaremadewithpremiumBelgianchocolate,onlythefinestinclusionsandnoaddedartificialflavourings.Features:Darkchocolateseasaltcaramels–350g(12.3oz)Pralinetruffles–300g(10.6oz.)Darkchocolateportocups–14x65g(2.3oz.)Individuallywrappedmilkanddarkchocolatesquares–190g(6.7oz.)Maplecrunchmilkchocolatebar–100g(3.5oz.)",349.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=1271204-894&recipeName=470
Cacao 70 Luxury Gift Box,"Chocolatehasthepowertotakeyouplaces.Acupofhotchocolateandyou’rebackinyourchildhood.Amilkshakeandyou’reina50’sdiner.Ahitofseasaltdarkchocolateandyou’reonadesertedisland.WithCacao70,youareinvitedtocrunch,sip,slurpandsavouryourwaytoastateofchocolate.Atotallydifferent,totallyclassyandtotallyunforgettablegiftforthatspecialperson.Features:4xCacao70“BeantoBar”chocolatebars,80g(2.8oz.)eachLightsOut(dark)–70%darkchocolateSmoothOperator(milk)–45%milkchocolateSailorJane(seasalt)–70%darkchocolateTipTap(maple)–70%darkchocolate6xchocolatefondues,217g(7.6oz.)eachClassicdarkchocolatefondue(darkchocolatebase)Classicmilkchocolatefondue(milkchocolatebase)Pralinechocolatefondue(milkchocolatebase)Matchachocolatefondue(whitechocolatebase)EarlGreychocolatefondue(whitechocolatebase)Blacksesamechocolatefondue(whitechocolatebase)2xpremiumdrinkingchocolate,400g(14.1oz.)eachAmericocoa–cocoapowderwithCACAO70’s“BeantoBar”chocolateshavingsinthemixMercicocoa–spicyversionofAmericocoaManuals,Information&Guidesvar_LCdim5=""2170002"";",139.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=2170002-894&recipeName=470
Galerie au Chocolat Combo Ballotin,"ThisduoistheperfectcombinationofelegantEuropeanstylefilledchocolatesandrefreshinglydeliciousmilkchocolatecranberryclustersmadewiththerealthing,OceanSpraydriedcranberries.GalerieauChocolathasbeenproducingfineBelgianchocolatessince1985.AsoneofCanada’sonlyremaininglargemanufacturersusing35%creamasitsprimaryingredient,thesefilledchocolatesprovideacreamytasteprofilenoteasilyfoundtoday.Asforthecranberryclusters,thefestive,fruitynatureofthecranberriesblendsbeautifullywithourlusciousmilkchocolate.Features:Box1:DriedcranberriescoatedinBelgianmilkchocolate–300g(10.6oz.)Box2:AssortedBelgianchocolatesinmilk,darkandwhitechocolatewithcreamyandnut-filledcentres–400g(16.1oz.)Specifications:Dimensions(LxWxH):14.4cmx14.4cmx7.5cm(5.7in.x5.7in.x7.5in.);Weight:0.6kg(1.5lb.)Manuals,Information&GuidesNutritionalFactsandValues",44.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=286827-894&recipeName=470
Cacao 70 Large Gift Box,"Chocolatehasthepowertotakeyouplaces.Acupofhotchocolateandyou’rebackinyourchildhood.Amilkshakeandyou’reina50’sdiner.Ahitofseasaltdarkchocolateandyou’reonadesertedisland.WithCacao70,youareinvitedtocrunch,sip,slurpandsavouryourwaytoastateofchocolate.Atotallydifferent,totallyclassyandtotallyunforgettablegiftforthatspecialperson.Features:8xCacao70“BeantoBar”chocolatebars,80g(2.8oz.)each2xLightsOut(dark)–70%darkchocolate2xSmoothOperator(milk)–45%milkchocolateSailorJane(seasalt)–70%darkchocolateTipTap(maple)–70%darkchocolateJackBean(coffee)–70%darkchocolateMintCondition(mint)–70%darkchocolate12xchocolatefondues,217g(7.6oz.)each2xclassicdarkchocolatefondue(darkchocolatebase)Classicmilkchocolatefondue(milkchocolatebase)Classicwhitechocolatefondue(whitechocolatebase)Pralinechocolatefondue(milkchocolatebase)Maplechocolatefondue(milkchocolatebase)Peanutbutterfondue(milkchocolatebase)Matchachocolatefondue(whitechocolatebase)EarlGreychocolatefondue(whitechocolatebase)Coffeechocolatefondue(whitechocolatebase)Blacksesamechocolatefondue(whitechocolatebase)Chaichocolatefondue(whitechocolatebase)2xpremiumdrinkingchocolate,400g(14.1oz.)eachAmericocoa–cocoapowderwithCACAO70’s“BeantoBar”chocolateshavingsinthemixMercicocoa–spicyversionofAmericocoa3xhotcocoapowder,400g(14.1oz.)DarkhotcocoapowderMilkhotcocoapowderBlacksesamehotcocoapowderManuals,Information&Guidesvar_LCdim5=""2170001"";",239.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=2170001-894&recipeName=470
"Galerie au Chocolat Prestige box, 4-pack","GalerieauChocolat’sAlmondBarkandCaramelAlmondDreamsmaketheperfectgiftforanyoccasion!Thismultipackoftheirbestsellingtreatsissuretopleaseeventhefinestchocolateconnoisseur’spalette.MadewiththefinestBelgianchocolate,doubleroastedalmondsandchewyhomemadecaramel.GalerieauChocolathasbeenproducingsomeofthefinestchocolatesavailableontheCanadianmarketforover30years.AlltheirproductsaremadewithpremiumBelgianchocolate,onlythefinestinclusionsandnoaddedartificialflavorings.Features:MilkChocolateAlmondBark–300g(10.6oz.)DarkChocolateAlmondBark–300g(10.6oz.)MilkChocolateCaramelAlmondDreams–300g(10.6oz.)DarkChocolateCaramelAlmondDreams–300g(10.6oz.)",124.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=1271206-894&recipeName=470
"Lindt Connaisseurs Pralinés, 2-pack","ThisitemmaycurrentlybeinstockatyourlocalCostcowarehouseforimmediatepurchaseatacashandcarryprice.LindtConnaisseursPralinésisanassortmentoffinechocolatepiecescelebratingthetasteandsmoothnessofthebestpralinésandgiandujas,preparedbytheLindtMaîtresChocolatierswiththehighestregardforthechocolatetradition.Forevenmoreindulgence,theMaîtresChocolatiershaveassociatedthemwithnobleingredients:wholehazelnuts,almonds,aswellascacaoandwafersshavings...Features:ExquisiteselectioncreatedbytheLindtMaîtresChocolatiersUniquechocolateexperienceofferingadistinctlysmoothandrich,gourmettasteContains38piecesofassortedpralinesAlmondPralinéCrestaMilkHazelnutClusterHazelnutGiandujaCocoaDomeAlmondClusterCrunchyWaferCrunchyPralinéMadeinFrance",37.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=2163569-894&recipeName=470
"Lindt Cornet Box of Assorted Lindor Chocolates, 900 g (2 lb.), 2-pack","ThisitemmaycurrentlybeinstockatyourlocalCostcowarehouseforimmediatepurchaseatacashandcarryprice.TrytheseuniqueLindorchocolates,theperfectcombinationofahardshellwithasmoothmeltingcentre,whichprovidesauniquesensoryexperience.ThebrandisavailableintheassortedCornetbox,containing4differentflavours.Thisisgreatforindividualconsumption,sharingwithothersoralovelygiftidea.Features:MilkLindorDarkLindorWhiteLindorHazelnutLindor",45.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026539&itemId=2145866-894&recipeName=470
